col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,Lables
0.01378037,0.007432593,0.002745556,0.0096975,-0.000621481,-0.015944444,0.000599167,-4.56E-05,-0.000276667,0.000293889,-0.000720463,-0.016687037,0.000693704,2.53E-05,-4.81E-05,0.000295556,-0.0006275,-0.005945185,0.00094,0.000298241,0.00028037,0.00074037,0.000149907,-0.00327037,0.000484815,5.15E-05,-4.39E-05,0.000338148,-1.22E-05,-0.003206944,0.000789259,0.000315185,0.000265278,0.000586111,0.000302222,-0.003094444,Empty
0.015723889,0.007948148,0.003312593,0.010513056,0.000433704,-0.001699259,0.001524167,0.00143037,-0.000191481,0.000412222,-0.004323426,-0.046509259,-0.01543037,-0.015391667,-0.009545185,-0.004542222,-0.019179167,-0.025781481,-0.009560741,-0.000574259,-0.001327037,-0.004325926,-0.007577407,-0.029218333,-0.006760741,-0.004788519,-0.038194167,-0.017997778,-0.009365556,-0.029591667,-0.005037778,-0.026156296,-0.008415556,-0.002863519,-0.003883333,-0.009877037,Empty
-0.003740278,-0.057738519,-0.020021481,-0.008988333,-0.019867778,-0.020905185,-0.001260278,-0.053147778,-0.009462963,-0.001325556,-0.002895833,-0.024833704,0.00038,-0.048853056,-0.003984444,0.000605926,-0.000963333,-0.021717778,0.001198148,-0.047696204,-0.008157778,-0.001154815,-0.002391852,-0.023145,-0.001168519,-0.039727407,-0.004428333,0.000134815,-0.001372222,-0.0144125,0.000115185,-0.062927407,-0.003754815,0.000199722,-0.000720741,-0.014018519,Empty
0.014934167,-0.052245185,-0.004910741,0.008356389,-0.002212222,-0.016720741,-0.00239,-0.047355185,-0.007724815,-0.00143,-0.002887222,-0.024790741,0.000177778,-0.040509722,-0.005348889,-1.30E-05,-0.001802222,-0.023068519,0.000851481,-0.030715926,-0.00316,0.000991111,-0.00045963,-0.022305833,-0.000145926,-0.036885926,-0.005249722,-0.000807037,-0.002227037,-0.025062222,-0.000421852,-0.038633704,-0.003087778,-0.000215,-0.001395185,-0.024518148,Empty
0.014557222,-0.028375926,1.11E-06,0.009906667,-0.001054444,-0.022652593,-0.001684537,-0.037434537,-0.005243333,-0.001640741,-0.003207778,-0.026222963,-0.000133333,-0.036110556,-0.00312,-5.85E-05,-0.001752222,-0.01071037,0.001020741,-0.031984444,-0.001319722,0.001085185,-0.000582963,-0.023803889,-0.000313333,-0.034144074,-0.003256389,-0.000758519,-0.00263037,-0.025470556,-0.000788241,-0.034316296,-0.002122963,-0.000268333,-0.001432222,-0.025268889,Empty
0.014648889,-0.036080741,0.000635556,0.0097625,-0.00122963,-0.023492963,-0.001863426,-0.048235926,-0.007262963,-0.002954444,-0.004473611,-0.027998519,-0.001434074,-0.047341944,-0.002431111,-0.000164074,-0.001763704,-0.011221852,0.000865926,-0.040001852,-0.001013611,0.001164074,-8.67E-05,-0.008540278,-0.000383333,-0.033289259,-0.002103333,-0.000230741,-0.001227407,-0.009050185,-0.000437963,-0.033172963,-0.00198963,-0.000438056,-0.001288519,-0.017878889,Empty
0.014494444,-0.022414815,0.000625926,0.009605926,-0.00116037,-0.00879,-0.001984537,-0.040880926,-0.004039259,-0.001551111,-0.002604167,-0.006212963,-0.00037037,-0.036515833,-0.004323704,-0.001244815,-0.002366296,-0.005594074,-0.000101111,-0.033820741,-0.000971111,0.000994074,-8.11E-05,-0.003295556,-0.000592963,-0.037308889,-0.002741389,-0.000709074,-0.001520741,-0.004072037,-0.000649907,-0.036634074,-0.001902222,-0.000358889,-0.000869259,-0.003422222,Empty
0.014796667,-0.020813704,0.001745926,0.010201111,-0.000221759,-0.001222222,-0.001453796,-0.030484815,-0.003512222,-0.001295926,-0.002307222,-0.004657037,3.15E-05,-0.031476481,-0.003181111,-0.000802222,-0.00195963,-0.004177407,0.00042963,-0.02919963,-0.000248611,0.001265185,0.000381111,-0.001663889,-0.000155926,-0.030412222,-0.001414352,8.56E-05,-0.000902593,-0.003417222,-0.000154907,-0.038792593,-0.001586667,-0.000396667,-0.000913704,-0.003512222,Empty
0.014932963,-0.032238426,0.00140963,0.010005185,-0.000604815,-0.003148889,-0.001408241,-0.034432593,-0.00386963,-0.00171037,-0.002901389,-0.005827037,-0.000232593,-0.038554259,-0.00151,2.37E-05,-0.001481481,-0.004134352,0.00124963,-0.028275926,-0.000225278,0.001201852,-6.63E-05,-0.002737037,-0.000294815,-0.030018519,-0.001856944,-0.000321019,-0.001442222,-0.003886111,-0.000411019,-0.028214815,-0.001607407,-0.000411944,-0.001227778,-0.003588519,Empty
0.014778519,-0.023315926,0.001795556,0.010033704,-0.000838426,-0.002055556,-0.0015575,-0.03736037,-0.004316296,-0.002017037,-0.003448611,-0.005613611,-0.000518148,-0.02766463,-0.001763333,-0.000142593,-0.002129259,-0.003860463,0.001244815,-0.026840741,-0.000111111,0.001094815,-0.001083333,-0.003124815,-0.000102593,-0.027073704,-0.001381759,-0.000195463,-0.00231963,-0.004985741,-0.000112407,-0.027399259,-0.001430741,-0.000602037,-0.002377778,-0.005549259,Empty
